,0
2285,1611358893728
2286,1611359041964
2287,1611367322462
2288,1611368530600
2289,1611372447241
2290,1611373734948
2291,1611375934617
2292,1611375952288
2293,1611376609713
2294,1611378806309
2295,1611380231756
2296,1611381683777
2297,1611381686682
2298,1611381814577
2299,1611384749486
2300,1611385061791
2301,1611385124162
2302,1611385232142
2303,1611385310899
2304,1611385404625
2305,1611386936144
2306,1611387235209
2307,1611388117264
2308,1611388643357
2309,1611390339149
2310,1611390809673
2311,1611390833993
2312,1611391800720
2313,1611392202882
2314,1611393904323
2315,1611396759222
2316,1611399670071
2317,1611400506782
2318,1611400757683
2319,1611403268756
2320,1611404979891
2321,1611408320753
2322,1611408348571
2323,1611410575492
2324,1611414282531
2325,1611415300935
2326,1611415837067
2327,1611416130850
2328,1611418697011
2329,1611419489245
2330,1611420145042
2331,1611420288107
2332,1611421438515
2333,1611422302878
2334,1611422570070
2335,1611422705671
2336,1611423720755
2337,1611424248253
2338,1611424249909
2339,1611424398971
2340,1611426365361
2341,1611427637250
2342,1611428637800
2343,1611432045285
2344,1611432457150
2345,1611433294071
2346,1611433331647
2347,1611433781258
2348,1611435610752
2349,1611435652763
2350,1611437431295
2351,1611437736773
2352,1611439598834
2353,1611443998024
2354,1611445481118
2355,1611446299104
2356,1611447525654
2357,1611451174611
2358,1611452497967
2359,1611453332499
2360,1611454197127
2361,1611455458755
2362,1611455741301
2363,1611459163338
2364,1611462703607
2365,1611464251515
2366,1611466275156
2367,1611467553724
2368,1611474246124
2369,1611474588231
2370,1611477963663
2371,1611480690284
2372,1611482450512
2373,1611482898620
2374,1611482943793
2375,1611484131733
2376,1611484923610
2377,1611484999161
2378,1611485583634
2379,1611485795375
2380,1611493447291
2381,1611493597402
2382,1611495148052
2383,1611495582734
2384,1611496085421
2385,1611496165054
2386,1611497966130
2387,1611498092185
2388,1611498920544
2389,1611501079719
2390,1611501457043
2391,1611503166657
2392,1611503481262
2393,1611506714642
2394,1611506891848
2395,1611508034856
2396,1611508569097
2397,1611512865989
2398,1611516014441
2399,1611516184973
2400,1611518064792
2401,1611518576124
2402,1611519228785
2403,1611521979402
2404,1611522195634
2405,1611522234775
2406,1611522357349
2407,1611522476886
2408,1611525018537
2409,1611525863838
2410,1611526205855
